NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
Forges du Saint-Maurice National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,46.39722,-72.6597,,Trois-Rivières; Francheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Chambly National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Lennox National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévis Forts National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,46.81472,-71.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Témiscamingue National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,47.295,-79.4569,,Duhamel-Ouest; Témiscamingue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortifications of Québec National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,46.80944,-71.2117,,Lévis; Desjardins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Wilfrid Laurier National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,"https://www.gallerieswest.ca/magazine/stories/revisiting-a-loaded-history/ , ",44.22083,-76.5069,,"Frontenac
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune Memorial House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,44.92222,-79.3767,,Muskoka ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queenston Heights National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,https://www.ctvnews.ca/lifestyle/parks-canada-plans-major-rewrite-of-more-than-200-historic-site-plaques-1.6405676 ,43.15833,-79.0528,,Lincoln; Welland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort George National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Malden National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort St. Joseph National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,46.06389,-83.9444,,Algoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Wellington National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,43.46667,-80.5,,Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batoche National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,52.75282,-106.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Battleford National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,52.72723,-108.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince of Wales Fort National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Walsh National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,49.56374,-109.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Fort Garry National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,50.11222,-96.9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes replica/ reconstruction ,,,"While some structures are original, others are replicas to represent life at the Hudson's Bay Company fur trading post in the 19th century.",,,Yes ,,,
Nááts'įhch'oh National Park Reserve of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klondike National Historic Sites of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.S. Keno National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,64.0675,-139.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.S. Klondike National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Factory National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,57,-92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Langley National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,https://www.ctvnews.ca/lifestyle/parks-canada-plans-major-rewrite-of-more-than-200-historic-site-plaques-1.6405676 ,49.16806,-122.569,,New Westminster Land District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort St. James National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,54.44028,-124.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Spear National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,47.52222,-52.6267,,"Kilbride
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle of the Châteauguay National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.15833,-73.9311,,Très-Saint-Sacrement; Le Haut-Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dredge No. 4 National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwold Earthworks National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Port of Quebec Interpretation Centre,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riel House National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasslands National Park of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boishébert National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,46.96667,-65.5667,,Northumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis S. St. Laurent National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.24139,-71.825,,"Compton; Coaticook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell Homestead National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,50.72086,-103.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rideau Canal National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent-Severn Waterway National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,44.54583,-78.5389,,Victoria; Muskoka; Simcoe,Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carillon Canal National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.56722,-74.3792,,Carillon; Argenteuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte-Anne-de-Bellevue Canal National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Parks Canada ,,45.40361,-73.9544,,Senneville; Communauté urbaine de Montréal,Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
